,time,rides
0,2013-07-01 00:00:00,58
1,2013-07-01 01:00:00,26
2,2013-07-01 02:00:00,19
3,2013-07-01 03:00:00,10
4,2013-07-01 04:00:00,9
5,2013-07-01 05:00:00,32
6,2013-07-01 06:00:00,111
7,2013-07-01 07:00:00,218
8,2013-07-01 08:00:00,435
9,2013-07-01 09:00:00,239
10,2013-07-01 10:00:00,64
11,2013-07-01 11:00:00,46
12,2013-07-01 12:00:00,109
13,2013-07-01 13:00:00,129
14,2013-07-01 14:00:00,114
15,2013-07-01 15:00:00,146
16,2013-07-01 16:00:00,221
17,2013-07-01 17:00:00,438
18,2013-07-01 18:00:00,497
19,2013-07-01 19:00:00,432
20,2013-07-01 20:00:00,319
21,2013-07-01 21:00:00,218
22,2013-07-01 22:00:00,168
23,2013-07-01 23:00:00,105
24,2013-07-02 00:00:00,57
25,2013-07-02 01:00:00,25
26,2013-07-02 02:00:00,14
27,2013-07-02 03:00:00,13
28,2013-07-02 04:00:00,7
29,2013-07-02 05:00:00,23
30,2013-07-02 06:00:00,123
31,2013-07-02 07:00:00,281
32,2013-07-02 08:00:00,491
33,2013-07-02 09:00:00,354
34,2013-07-02 10:00:00,220
35,2013-07-02 11:00:00,214
36,2013-07-02 12:00:00,246
37,2013-07-02 13:00:00,208
38,2013-07-02 14:00:00,277
39,2013-07-02 15:00:00,278
40,2013-07-02 16:00:00,399
41,2013-07-02 17:00:00,679
42,2013-07-02 18:00:00,726
43,2013-07-02 19:00:00,524
44,2013-07-02 20:00:00,140
45,2013-07-02 21:00:00,157
46,2013-07-02 22:00:00,124
47,2013-07-02 23:00:00,106
48,2013-07-03 00:00:00,59
49,2013-07-03 01:00:00,31
50,2013-07-03 02:00:00,18
51,2013-07-03 03:00:00,13
52,2013-07-03 04:00:00,7
53,2013-07-03 05:00:00,27
54,2013-07-03 06:00:00,126
55,2013-07-03 07:00:00,248
56,2013-07-03 08:00:00,507
57,2013-07-03 09:00:00,401
58,2013-07-03 10:00:00,233
59,2013-07-03 11:00:00,252
60,2013-07-03 12:00:00,341
61,2013-07-03 13:00:00,398
62,2013-07-03 14:00:00,151
63,2013-07-03 15:00:00,345
64,2013-07-03 16:00:00,467
65,2013-07-03 17:00:00,563
66,2013-07-03 18:00:00,402
